ID_CLIENT,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,REG_ADDRESS_PROVINCE,FACT_ADDRESS_PROVINCE,POSTAL_ADDRESS_PROVINCE,FL_PRESENCE_FL,OWN_AUTO,AGREEMENT_RK,TARGET,FAMILY_INCOME,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
106804394,33,1,3,Состою в браке,1,1,1,0,Адыгея,Адыгея,Адыгея,0,0,59914507,0,3,8000.0,1,1
106804395,38,1,3,Не состоял в браке,1,1,1,0,Челябинская область,Челябинская область,Челябинская область,1,0,59914532,0,3,13000.0,1,1
106804396,27,1,5,Состою в браке,0,0,1,0,Мурманская область,Мурманская область,Мурманская область,0,1,59914562,0,4,12500.0,1,1
106804397,31,1,3,Состою в браке,1,1,1,0,Амурская область,Амурская область,Амурская область,0,0,59914760,1,4,12000.0,1,1
106804398,40,0,3,Состою в браке,1,1,1,0,Ленинградская область,Ленинградская область,Ленинградская область,0,0,59914815,0,4,20000.0,1,1
106804399,63,1,3,Состою в браке,0,0,0,1,Тверская область,Тверская область,Тверская область,0,0,59914912,0,2,5000.0,1,1
106804400,40,1,3,Состою в браке,3,2,1,0,Мурманская область,Мурманская область,Мурманская область,0,1,59914934,0,4,11000.0,1,1
106804401,27,0,5,Состою в браке,1,1,1,0,Ленинградская область,Ленинградская область,Ленинградская область,0,0,59914938,0,3,15000.0,1,1
106804402,49,1,3,Не состоял в браке,2,0,1,0,Ростовская область,Ростовская область,Ростовская область,0,0,59915134,0,2,5000.0,1,1
106804403,29,0,3,Не состоял в браке,0,0,1,0,Свердловская область,Свердловская область,Свердловская область,0,1,59915164,0,4,10000.0,1,1
106804404,61,1,5,Состою в браке,0,0,1,0,Тульская область,Тульская область,Тульская область,0,0,59915192,0,3,13000.0,1,1
106804405,43,1,3,Состою в браке,2,2,1,0,Воронежская область,Воронежская область,Воронежская область,0,1,59915193,0,4,30000.0,1,1
106804406,38,0,5,Не состоял в браке,0,0,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0,59915275,0,4,23000.0,2,2
106804407,38,0,3,Состою в браке,4,4,1,0,Белгородская область,Белгородская область,Белгородская область,0,1,59915302,0,4,15000.0,1,1
106804408,49,0,3,Состою в браке,2,0,1,0,Башкирия,Башкирия,Башкирия,1,0,59915312,0,3,10000.0,1,1
106804409,44,1,3,Состою в браке,0,0,1,0,Пермская область,Пермская область,Пермская область,0,0,59915340,0,3,13000.0,1,1
106804410,61,1,3,Состою в браке,2,0,0,1,Омская область,Омская область,Омская область,0,0,59915354,0,2,5000.0,1,1
106804411,28,1,3,Состою в браке,1,1,1,0,Саратовская область,Саратовская область,Саратовская область,0,0,59915402,0,3,8000.0,2,2
106804412,31,0,3,Состою в браке,1,1,1,0,Башкирия,Башкирия,Башкирия,1,0,59915484,0,4,20000.0,1,1
106804413,59,1,3,Состою в браке,0,0,0,1,Краснодарский край,Краснодарский край,Краснодарский край,0,0,59915500,0,2,4000.0,1,1
106804414,54,1,5,Состою в браке,2,0,1,0,Мордовская республика,Мордовская республика,Мордовская республика,1,0,59915564,0,4,8000.0,2,1
106804415,48,1,3,Состою в браке,2,0,1,0,Ленинградская область,Ленинградская область,Ленинградская область,1,0,59915634,0,3,13000.0,1,1
106804416,24,0,5,Состою в браке,0,0,1,0,Новосибирская область,Новосибирская область,Новосибирская область,0,0,59915800,0,5,50000.0,1,1
106804417,48,1,5,Вдовец/Вдова,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,59915970,0,4,15000.0,1,1
106804418,43,1,4,Разведен(а),1,1,1,0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,0,0,59916060,0,4,20000.0,2,1
106804419,23,0,3,Состою в браке,1,1,1,0,Магаданская область,Магаданская область,Магаданская область,0,1,59916079,0,4,18000.0,1,1
106804420,54,1,3,Не состоял в браке,2,0,1,0,Ханты-Мансийский АО,Ханты-Мансийский АО,Ханты-Мансийский АО,0,0,59916196,0,5,40000.0,1,1
106804421,37,0,2,Состою в браке,1,1,1,0,Челябинская область,Челябинская область,Челябинская область,0,1,59916537,0,3,10000.0,1,1
106804422,47,1,5,Состою в браке,0,0,1,0,Псковская область,Псковская область,Псковская область,1,0,59916782,0,4,20000.0,1,1
106804423,52,1,5,Состою в браке,1,1,0,1,Адыгея,Адыгея,Адыгея,0,0,59917047,0,3,5700.0,2,2
106804424,24,0,2,Состою в браке,0,0,1,0,Тверская область,Тверская область,Тверская область,0,0,59917064,0,3,15000.0,2,2
106804425,48,1,2,Не состоял в браке,0,0,1,0,Липецкая область,Липецкая область,Липецкая область,1,0,59917071,0,3,11000.0,1,1
106804426,58,0,3,Состою в браке,2,0,0,1,Алтайский край,Алтайский край,Алтайский край,0,0,59917104,0,3,9000.0,1,1
106804427,34,1,5,Не состоял в браке,0,0,1,0,Еврейская АО,Еврейская АО,Еврейская АО,0,0,59917205,0,4,9000.0,1,1
106804428,31,1,3,Не состоял в браке,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,59917790,0,4,12800.0,2,1
106804429,31,0,3,Состою в браке,1,1,1,0,Самарская область,Самарская область,Самарская область,0,0,59917807,0,4,20000.0,1,1
106804430,35,1,3,Не состоял в браке,1,1,1,0,Алтайский край,Алтайский край,Алтайский край,1,0,59917814,1,3,15000.0,1,1
106804431,54,1,5,Состою в браке,2,0,0,1,Свердловская область,Свердловская область,Свердловская область,0,0,59917902,0,3,10000.0,1,1
106804432,35,1,3,Состою в браке,1,1,1,0,Хабаровский край,Хабаровский край,Хабаровский край,0,0,59918129,0,4,15000.0,1,1
106804433,61,1,3,Состою в браке,2,0,0,1,Орловская область,Орловская область,Орловская область,0,0,59918141,0,3,5500.0,1,1
106804434,52,0,2,Состою в браке,0,1,1,0,Новосибирская область,Новосибирская область,Новосибирская область,0,0,59918142,0,3,7000.0,1,1
106804435,34,0,2,Состою в браке,2,2,1,0,Ивановская область,Ивановская область,Ивановская область,0,0,59918152,1,3,6000.0,1,1
106804436,44,0,1,Гражданский брак,3,3,1,0,Читинская область,Читинская область,Читинская область,0,0,59918243,0,3,11000.0,1,1
106804437,63,1,1,Состою в браке,2,0,0,1,Татарстан,Татарстан,Татарстан,0,0,59918315,0,2,4800.0,1,1
106804438,30,0,3,Разведен(а),0,0,1,0,Ханты-Мансийский АО,Ханты-Мансийский АО,Ханты-Мансийский АО,0,0,59918616,0,4,30000.0,1,1
106804439,27,1,3,Не состоял в браке,0,0,1,0,Волгоградская область,Волгоградская область,Волгоградская область,0,0,59918705,0,2,5300.0,1,1
106804440,35,1,5,Не состоял в браке,0,0,1,0,Якутия,Якутия,Якутия,1,0,59918758,0,5,50000.0,1,1
106804441,48,1,3,Состою в браке,2,0,1,0,Вологодская область,Вологодская область,Вологодская область,1,0,59919115,0,3,11000.0,1,1
106804442,29,1,3,Состою в браке,1,1,1,0,Кировская область,Кировская область,Кировская область,1,0,59919158,0,4,11700.0,1,1
106804443,30,0,3,Состою в браке,1,1,1,0,Саратовская область,Саратовская область,Саратовская область,0,0,59919255,0,3,8000.0,1,1
106804444,31,1,2,Состою в браке,1,1,1,0,Мордовская республика,Мордовская республика,Мордовская республика,1,0,59919426,0,3,5000.0,2,2
106804445,51,1,3,Состою в браке,2,0,1,0,Пермская область,Пермская область,Пермская область,0,0,59919466,0,3,7500.0,1,1
106804446,47,0,3,Состою в браке,2,1,1,0,Пермская область,Пермская область,Пермская область,1,1,59919794,0,4,18000.0,2,2
106804447,26,0,4,Не состоял в браке,0,0,1,0,Астраханская область,Астраханская область,Астраханская область,0,0,59919854,0,2,8000.0,1,1
106804448,44,0,3,Состою в браке,2,2,1,0,Коми,Коми,Коми,0,0,59920262,0,4,20000.0,1,1
106804449,33,1,5,Состою в браке,1,1,1,0,Татарстан,Татарстан,Татарстан,0,0,59920457,1,3,10000.0,1,1
106804450,35,1,5,Не состоял в браке,0,0,1,0,Архангельская область,Санкт-Петербург,Санкт-Петербург,0,0,59920692,0,3,9000.0,1,1
106804451,51,1,3,Вдовец/Вдова,1,0,1,0,Тверская область,Тверская область,Тверская область,1,0,59920809,0,3,11000.0,1,1
106804452,43,1,5,Состою в браке,1,1,1,0,Ростовская область,Ростовская область,Ростовская область,0,0,59920871,0,4,15000.0,2,2
106804453,35,0,3,Не состоял в браке,1,1,1,0,Приморский край,Приморский край,Приморский край,0,1,59920924,0,3,15000.0,1,1
106804454,27,1,3,Не состоял в браке,0,0,1,0,Тверская область,Тверская область,Тверская область,0,0,59921016,1,3,10000.0,1,1
106804455,54,1,3,Состою в браке,0,0,1,0,Псковская область,Псковская область,Псковская область,1,0,59921388,0,4,15000.0,1,1
106804456,28,1,1,Состою в браке,1,1,1,0,Кировская область,Кировская область,Кировская область,0,0,59921422,0,4,8000.0,1,1
106804457,53,0,3,Состою в браке,2,0,1,0,Приморский край,Приморский край,Приморский край,0,1,59921596,0,4,25000.0,1,1
106804458,29,1,3,Состою в браке,1,1,1,0,Тульская область,Тульская область,Тульская область,1,0,59921625,0,3,11000.0,1,1
106804459,59,1,5,Разведен(а),1,0,1,0,Тульская область,Тульская область,Тульская область,0,0,59921843,0,3,8500.0,1,1
106804460,56,0,3,Состою в браке,3,0,1,0,Чувашия,Чувашия,Чувашия,0,0,59922010,0,3,4000.0,1,1
106804461,37,1,2,Состою в браке,3,3,1,1,Коми,Коми,Коми,1,0,59922118,0,4,15000.0,2,1
106804462,51,0,3,Состою в браке,1,0,1,0,Ставропольский край,Ставропольский край,Ставропольский край,0,0,59922128,0,3,8000.0,1,1
106804463,63,0,2,Состою в браке,1,0,1,0,Тверская область,Тверская область,Тверская область,0,0,59923054,0,3,10000.0,1,1
106804464,31,0,5,Состою в браке,0,0,1,0,Костромская область,Костромская область,Костромская область,0,0,59923107,0,4,18000.0,1,1
106804465,58,0,5,Состою в браке,3,1,1,0,Курская область,Курская область,Курская область,0,0,59923159,0,4,15000.0,1,1
106804466,48,0,3,Состою в браке,2,0,1,0,Смоленская область,Смоленская область,Смоленская область,0,0,59923161,0,3,12000.0,1,1
106804467,37,1,3,Состою в браке,1,1,1,0,Ростовская область,Ростовская область,Ростовская область,0,0,59923165,0,3,7300.0,1,1
106804468,52,1,3,Не состоял в браке,0,0,1,0,Костромская область,Костромская область,Костромская область,1,0,59923241,0,4,25000.0,1,1
106804469,52,1,3,Не состоял в браке,0,0,1,0,Астраханская область,Астраханская область,Астраханская область,1,0,59923269,0,3,8000.0,1,1
106804470,37,0,3,Разведен(а),0,0,1,0,Астраханская область,Астраханская область,Астраханская область,0,1,59923341,0,3,12000.0,1,1
106804471,22,0,3,Не состоял в браке,1,0,1,0,Саратовская область,Саратовская область,Саратовская область,0,0,59923386,0,3,8000.0,1,1
106804472,36,1,3,Состою в браке,2,2,1,0,Тюменская область,Тюменская область,Тюменская область,0,0,59923424,0,4,10000.0,1,1
106804473,37,0,2,Состою в браке,1,1,1,0,Смоленская область,Смоленская область,Смоленская область,0,0,59923546,0,3,14500.0,1,1
106804474,63,0,3,Состою в браке,2,0,0,1,Чувашия,Чувашия,Чувашия,0,0,59923557,0,2,5000.0,1,1
106804475,26,0,5,Не состоял в браке,0,0,1,0,Хакасия,Хакасия,Хакасия,1,0,59923612,0,3,10000.0,2,1
106804476,57,1,3,Состою в браке,0,0,0,1,Волгоградская область,Волгоградская область,Волгоградская область,0,0,59923663,1,3,3000.0,1,1
106804477,45,1,2,Не состоял в браке,1,1,1,0,Башкирия,Башкирия,Башкирия,0,0,59923678,0,3,5000.0,1,1
106804478,22,0,3,Состою в браке,1,2,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,0,59923884,0,3,12000.0,1,1
106804479,57,0,2,Не состоял в браке,0,0,1,1,Якутия,Якутия,Якутия,0,1,59924026,0,4,30000.0,1,1
106804480,57,0,3,Состою в браке,0,0,0,1,Брянская область,Брянская область,Брянская область,0,0,59924048,0,3,6000.0,1,1
106804481,39,0,5,Состою в браке,2,2,1,0,Красноярский край,Красноярский край,Красноярский край,0,0,59924146,0,4,27000.0,1,1
106804482,37,1,3,Состою в браке,2,2,1,0,Калужская область,Калужская область,Калужская область,0,0,59924239,0,4,9000.0,1,1
106804483,41,0,3,Не состоял в браке,0,0,1,0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,0,1,59924607,0,3,18000.0,1,1
106804484,34,0,3,Состою в браке,2,2,1,0,Тверская область,Тверская область,Тверская область,0,0,59925055,0,3,6000.0,2,2
106804485,44,0,3,Состою в браке,1,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,1,59925110,0,4,15000.0,1,1
106804486,38,0,3,Состою в браке,1,1,1,0,Омская область,Омская область,Омская область,1,0,59925185,0,4,13500.0,1,1
106804487,40,1,5,Состою в браке,1,1,1,0,Алтайский край,Алтайский край,Алтайский край,0,0,59925195,0,3,6500.0,1,1
106804488,40,0,3,Состою в браке,2,2,1,0,Татарстан,Татарстан,Татарстан,1,1,59925200,0,4,14000.0,1,1
106804489,27,1,4,Состою в браке,1,1,1,0,Оренбургская область,Оренбургская область,Оренбургская область,0,1,59925263,0,4,15000.0,1,1
106804490,29,0,5,Состою в браке,1,1,1,0,Приморский край,Приморский край,Приморский край,0,0,59925320,0,4,20000.0,1,1
106804491,28,1,5,Состою в браке,1,1,1,0,Архангельская область,Архангельская область,Архангельская область,0,0,59925344,0,4,10000.0,1,1
106804492,41,1,3,Не состоял в браке,2,1,1,0,Новосибирская область,Новосибирская область,Новосибирская область,1,0,59925421,0,3,8600.0,1,1
106804493,39,1,3,Состою в браке,1,1,1,0,Амурская область,Амурская область,Амурская область,0,0,59925539,0,4,35000.0,1,1
106804494,43,0,2,Состою в браке,0,0,1,0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,0,1,59925799,0,4,15000.0,1,1
106804495,57,1,3,Вдовец/Вдова,0,0,0,1,Карелия,Карелия,Карелия,1,0,59925843,0,2,8000.0,2,2
106804496,50,1,5,Состою в браке,0,0,1,0,Омская область,Омская область,Омская область,0,0,59925872,0,4,15000.0,1,1
106804497,38,0,2,Состою в браке,4,4,1,0,Ленинградская область,Ленинградская область,Ленинградская область,1,1,59925882,0,4,38000.0,3,2
106804498,51,1,3,Разведен(а),0,0,1,0,Орловская область,Московская область,Московская область,1,0,59925955,0,4,25000.0,1,1
106804499,54,1,3,Не состоял в браке,1,1,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,59926091,1,4,11000.0,1,1
106804500,35,1,5,Состою в браке,1,1,1,0,Кировская область,Кировская область,Кировская область,0,0,59926221,0,4,15000.0,1,1
106804501,27,1,5,Состою в браке,2,2,1,0,Приморский край,Приморский край,Приморский край,0,0,59926263,0,4,10000.0,1,1
106804502,48,1,1,Состою в браке,2,0,1,0,Пензенская область,Пензенская область,Пензенская область,1,0,59926295,0,3,6000.0,1,1
106804503,50,1,3,Состою в браке,0,0,1,0,Амурская область,Амурская область,Амурская область,0,0,59926408,0,4,12000.0,1,1
106804504,41,1,3,Состою в браке,2,2,1,0,Костромская область,Костромская область,Костромская область,0,0,59926549,0,2,5000.0,1,1
106804505,42,1,4,Состою в браке,1,1,1,0,Тамбовская область,Тамбовская область,Тамбовская область,1,0,59926704,0,3,10000.0,2,2
106804506,29,0,3,Состою в браке,1,1,1,0,Ставропольский край,Ставропольский край,Ставропольский край,0,0,59926732,0,3,6200.0,1,1
106804507,27,0,3,Не состоял в браке,0,0,1,0,Курганская область,Курганская область,Курганская область,0,0,59926912,0,4,10000.0,1,1
106804508,40,0,5,Состою в браке,2,2,1,0,Архангельская область,Архангельская область,Архангельская область,1,0,59926936,0,4,20000.0,1,1
106804509,29,1,3,Не состоял в браке,0,0,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,0,59927010,0,3,15000.0,1,1
106804510,53,1,2,Разведен(а),0,0,1,0,Татарстан,Татарстан,Татарстан,0,0,59927078,0,2,6000.0,1,1
106804511,46,0,5,Состою в браке,1,0,1,0,Ярославская область,Ярославская область,Ярославская область,0,0,59927260,0,3,8000.0,1,1
106804512,57,1,3,Вдовец/Вдова,2,0,0,1,Ростовская область,Ростовская область,Ростовская область,0,0,59927432,0,3,7000.0,1,1
106804513,32,1,3,Не состоял в браке,1,1,1,0,Владимирская область,Владимирская область,Владимирская область,0,0,59927451,0,3,10500.0,1,1
106804514,56,1,3,Состою в браке,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,59927525,0,4,170000.0,1,1
106804515,51,1,3,Состою в браке,0,0,1,1,Волгоградская область,Волгоградская область,Волгоградская область,0,0,59927554,0,3,15000.0,1,1
106804516,31,1,5,Разведен(а),2,2,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0,59927584,0,3,15000.0,1,1
106804517,51,1,3,Состою в браке,2,0,1,0,Ульяновская область,Ульяновская область,Ульяновская область,0,0,59927613,0,3,10000.0,1,1
106804518,43,1,3,Состою в браке,1,1,1,0,Ульяновская область,Ульяновская область,Ульяновская область,0,0,59927690,0,3,8000.0,1,1
106804519,35,1,3,Состою в браке,1,1,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0,59927793,0,3,10000.0,2,2
106804520,38,1,3,Не состоял в браке,0,0,1,0,Кировская область,Кировская область,Кировская область,0,0,59927798,0,3,9000.0,1,1
106804521,55,0,3,Состою в браке,0,0,1,0,Воронежская область,Воронежская область,Воронежская область,1,0,59927827,0,4,20000.0,1,1
106804522,37,1,5,Разведен(а),2,2,1,0,Мурманская область,Мурманская область,Мурманская область,0,0,59927916,0,5,60000.0,1,1
106804523,38,0,2,Состою в браке,2,2,1,0,Алтайский край,Алтайский край,Алтайский край,0,1,59927923,0,3,10000.0,1,1
106804524,23,1,2,Не состоял в браке,2,2,1,0,Приморский край,Приморский край,Приморский край,0,0,59928049,0,2,8000.0,1,1
106804525,53,0,3,Состою в браке,2,0,1,0,Читинская область,Читинская область,Читинская область,0,1,59928086,0,4,7000.0,1,1
106804526,40,0,3,Состою в браке,2,0,1,0,Татарстан,Татарстан,Татарстан,0,0,59928106,0,3,7800.0,1,1
106804527,59,1,2,Состою в браке,3,1,1,1,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,1,0,59928443,0,5,18000.0,2,1
106804528,37,1,3,Состою в браке,2,2,1,0,Курская область,Курская область,Курская область,0,0,59928497,0,3,10000.0,1,1
106804529,27,0,2,Состою в браке,2,2,1,0,Бурятия,Бурятия,Бурятия,1,0,59928561,1,3,12000.0,2,2
106804530,63,1,5,Состою в браке,0,0,1,0,Томская область,Томская область,Томская область,0,0,59928609,0,4,25000.0,1,1
106804531,57,1,3,Разведен(а),0,0,1,0,Архангельская область,Архангельская область,Архангельская область,0,0,59928861,0,3,12000.0,1,1
106804532,42,0,3,Разведен(а),0,0,1,0,Кировская область,Кировская область,Кировская область,0,1,59928901,1,3,15000.0,2,2
106804533,31,0,4,Состою в браке,2,2,1,0,Тамбовская область,Тамбовская область,Тамбовская область,0,0,59928942,0,3,10000.0,3,2
106804534,33,1,2,Состою в браке,2,2,1,0,Кировская область,Кировская область,Кировская область,0,0,59929169,0,2,3300.0,1,1
106804535,31,0,2,Состою в браке,1,2,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,0,59929176,0,4,30000.0,2,1
106804536,51,1,3,Состою в браке,2,0,1,0,Мордовская республика,Мордовская республика,Мордовская республика,1,0,59929197,0,3,8000.0,2,1
106804537,28,0,2,Состою в браке,1,2,1,0,Омская область,Омская область,Омская область,0,0,59929552,0,4,25000.0,2,2
106804538,27,1,2,Не состоял в браке,1,1,1,0,Пермская область,Пермская область,Пермская область,0,0,59929697,0,3,6000.0,1,1
106804539,48,0,5,Состою в браке,1,1,1,0,Ивановская область,Ивановская область,Ивановская область,0,1,59929797,0,3,10000.0,1,1
106804540,24,0,5,Состою в браке,1,1,1,0,Читинская область,Читинская область,Читинская область,0,0,59929832,0,2,6500.0,1,1
106804541,29,0,3,Состою в браке,1,1,1,0,Ханты-Мансийский АО,Ханты-Мансийский АО,Ханты-Мансийский АО,1,0,59929846,0,4,25000.0,1,1
106804542,66,1,3,Вдовец/Вдова,1,0,1,1,Тамбовская область,Тамбовская область,Тамбовская область,1,0,59929855,0,2,9300.0,1,1
106804543,49,0,2,Не состоял в браке,1,1,1,0,Ульяновская область,Ульяновская область,Ульяновская область,0,0,59929948,0,3,10000.0,1,1
106804544,23,0,2,Не состоял в браке,0,0,1,0,Новосибирская область,Новосибирская область,Новосибирская область,0,0,59930128,0,5,15000.0,1,1
106804545,34,0,5,Состою в браке,1,1,1,0,Алтайский край,Алтайский край,Алтайский край,1,0,59930152,0,3,8000.0,1,1
106804546,35,0,3,Не состоял в браке,0,0,1,0,Читинская область,Читинская область,Читинская область,0,0,59930194,1,3,13000.0,1,1
106804547,34,1,5,Состою в браке,1,1,1,0,Оренбургская область,Оренбургская область,Оренбургская область,1,0,59930219,0,4,18000.0,2,2
106804548,49,1,3,Гражданский брак,0,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0,59930389,0,3,10000.0,1,1
106804549,29,0,5,Не состоял в браке,0,0,1,0,Вологодская область,Вологодская область,Вологодская область,0,0,59930422,0,3,20000.0,1,1
106804550,57,0,4,Состою в браке,3,0,1,0,Бурятия,Бурятия,Бурятия,0,1,59930424,0,3,12000.0,1,1
106804551,63,1,5,Состою в браке,3,0,1,1,Липецкая область,Липецкая область,Липецкая область,0,0,59930490,0,4,20000.0,1,1
106804552,33,0,2,Состою в браке,0,0,1,0,Камчатская область,Камчатская область,Камчатская область,0,1,59930738,0,4,35000.0,1,1
106804553,50,1,3,Состою в браке,1,0,0,1,Тамбовская область,Тамбовская область,Тамбовская область,0,0,59930942,0,3,8000.0,1,1
106804554,48,1,3,Состою в браке,0,0,1,0,Приморский край,Приморский край,Приморский край,0,0,59931044,0,4,18000.0,1,1
106804555,36,1,5,Разведен(а),1,0,1,0,Самарская область,Самарская область,Самарская область,0,1,59931084,0,4,17000.0,1,1
106804556,34,0,1,Состою в браке,2,2,1,0,Вологодская область,Вологодская область,Вологодская область,1,0,59931383,0,3,6000.0,2,1
106804557,23,0,3,Не состоял в браке,0,0,1,0,Липецкая область,Липецкая область,Липецкая область,0,0,59931442,0,2,5500.0,1,1
106804558,29,0,6,Состою в браке,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,59931474,0,4,28000.0,1,1
106804559,47,1,2,Состою в браке,2,0,1,0,Саратовская область,Саратовская область,Саратовская область,0,0,59931501,0,3,9000.0,1,1
106804560,34,1,3,Разведен(а),1,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,0,59931579,0,3,14000.0,1,1
106804561,57,1,3,Вдовец/Вдова,0,0,0,1,Кемеровская область,Кемеровская область,Кемеровская область,0,0,59931599,0,4,9000.0,1,1
106804562,53,1,1,Не состоял в браке,0,0,1,0,Курганская область,Курганская область,Курганская область,0,0,59931767,0,2,7000.0,1,1
106804563,61,1,1,Состою в браке,0,0,0,1,Архангельская область,Архангельская область,Архангельская область,1,0,59931796,0,2,7000.0,1,1
106804564,34,1,3,Разведен(а),2,2,1,0,Белгородская область,Белгородская область,Белгородская область,0,0,59931959,0,2,10000.0,1,1
106804565,47,1,3,Не состоял в браке,1,0,1,0,Курганская область,Курганская область,Курганская область,1,0,59931983,1,4,25000.0,1,1
106804566,24,0,3,Состою в браке,0,0,1,0,Саратовская область,Саратовская область,Саратовская область,0,1,59932008,0,4,20000.0,1,1
106804567,56,1,3,Состою в браке,0,0,0,1,Хабаровский край,Хабаровский край,Хабаровский край,1,0,59932142,0,4,10000.0,1,1
106804568,42,0,3,Разведен(а),1,0,1,0,Нижегородская область,Нижегородская область,Нижегородская область,0,0,59932520,0,3,10000.0,1,1
106804569,62,1,2,Не состоял в браке,0,0,1,1,Калининградская область,Калининградская область,Калининградская область,0,0,59932632,0,3,15000.0,2,2
